BUS__CODE,SCORE,A_GrossSales,A_ExtaxPurch,A_Resales,A_FoodCosts,A_LaborCosts,A_IOC,A_BadDebts,A_TOPP,A_SalesFinal,OwnCode,Status,Y_AuditResult
5,0.2280130293159609,0.2691029900332226,0.31896551724137934,0.34516129032258064,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.2781456953642384,0,1,Not_Success
6,0.18812260536398467,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.18812260536398467,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
5,0.15948670944087992,0.30245746691871456,0.44658493870402804,0.34516129032258064,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.18812260536398467,0.23652694610778444,0.44658493870402804,0.09090909090909091,0.054120976299964624,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
5,0.2571428571428571,0.2193877551020408,0.45588235294117646,0.34516129032258064,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.08928571428571429,0.0967741935483871,0,1,Not_Success
1,0.2155425219941349,0.27472527472527475,0.24236453201970443,0.2980769230769231,0.2727272727272727,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.18812260536398467,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.2155425219941349,0.2691029900332226,0.17075773745997866,0.23436816790555312,0.29219600725952816,0.25,0.24216959511077157,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
7,0.15948670944087992,0.2691029900332226,0.28187919463087246,0.23436816790555312,0.29219600725952816,0.315651718722736,0.04750462107208873,0.27556109725685785,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.2155425219941349,0.40625,0.28187919463087246,0.2222222222222222,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.3684210526315789,0,1,Success
1,0.18812260536398467,0.40625,0.31896551724137934,0.2222222222222222,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
5,0.2280130293159609,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.2280130293159609,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.2155425219941349,0.2691029900332226,0.3918918918918919,0.23436816790555312,0.29219600725952816,0.315651718722736,0.24216959511077157,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
7,0.15948670944087992,0.3212121212121212,0.44658493870402804,0.2222222222222222,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
7,0.2571428571428571,0.27472527472527475,0.44658493870402804,0.2980769230769231,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
5,0.15268817204301074,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.18812260536398467,0.3372093023255814,0.2972156994297216,0.2222222222222222,0.29219600725952816,0.315651718722736,0.3103448275862069,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.2571428571428571,0.3212121212121212,0.8571428571428571,0.21256038647342995,0.29219600725952816,0.315651718722736,0.24216959511077157,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Success
5,0.2280130293159609,0.23652694610778444,0.17075773745997866,0.23436816790555312,0.29219600725952816,0.2737430167597765,0.2584856396866841,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.15948670944087992,0.2691029900332226,0.2972156994297216,0.23436816790555312,0.054120976299964624,0.2544861337683524,0.2589928057553957,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.3285198555956679,0.27472527472527475,0.45588235294117646,0.2980769230769231,0.29219600725952816,0.25,0.3103448275862069,0.32666666666666666,0.34285714285714286,0.3684210526315789,0,1,Not_Success
5,0.15948670944087992,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.2280130293159609,0.2691029900332226,0.17075773745997866,0.23436816790555312,0.29219600725952816,0.315651718722736,0.24216959511077157,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.2155425219941349,0.08571428571428572,0.17075773745997866,0.2222222222222222,0.29219600725952816,0.315651718722736,0.02631578947368421,0.09523809523809523,0.8,0.2888758782201405,0,1,Not_Success
1,0.18812260536398467,0.3212121212121212,0.17075773745997866,0.2222222222222222,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.3684210526315789,0,1,Not_Success
5,0.2155425219941349,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
5,0.2155425219941349,0.40625,0.17075773745997866,0.23436816790555312,0.29219600725952816,0.315651718722736,0.12389380530973451,0.32666666666666666,0.10869565217391304,0.2888758782201405,0,1,Not_Success
5,0.2155425219941349,0.2693498452012384,0.4860335195530726,0.34516129032258064,0.29219600725952816,0.2737430167597765,0.31664030926023545,0.27556109725685785,0.304764337718738,0.2888758782201405,0,1,Not_Success
5,0.3285198555956679,0.3372093023255814,0.44658493870402804,0.2980769230769231,0.29219600725952816,0.2544861337683524,0.24216959511077157,0.3029259896729776,0.304764337718738,0.3684210526315789,0,1,Not_Success
5,0.2155425219941349,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.18812260536398467,0.2691029900332226,0.2972156994297216,0.25,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Success
5,0.18812260536398467,0.2691029900332226,0.14418604651162792,0.23436816790555312,0.29219600725952816,0.27292110874200426,0.2584856396866841,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
5,0.3285198555956679,0.27472527472527475,0.44658493870402804,0.29143897996357016,0.054120976299964624,0.27292110874200426,0.24216959511077157,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.18812260536398467,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.2155425219941349,0.30042918454935624,0.17075773745997866,0.29143897996357016,0.29219600725952816,0.315651718722736,0.24216959511077157,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Success
1,0.3285198555956679,0.0,0.39552238805970147,0.2980769230769231,0.29219600725952816,0.315651718722736,0.24216959511077157,0.32666666666666666,0.304764337718738,0.2888758782201405,0,1,Not_Success
5,0.18812260536398467,0.2691029900332226,0.17075773745997866,0.2793764988009592,0.29219600725952816,0.2737430167597765,0.1968503937007874,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.15948670944087992,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.18812260536398467,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
0,0.15948670944087992,0.2691029900332226,0.2972156994297216,0.29143897996357016,0.29219600725952816,0.315651718722736,0.2589928057553957,0.3029259896729776,0.304764337718738,0.3684210526315789,0,1,Not_Success
1,0.2571428571428571,0.2693498452012384,1.0,0.2980769230769231,0.29219600725952816,0.20648967551622419,0.3103448275862069,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Success
7,0.2155425219941349,0.2691029900332226,0.2972156994297216,0.23436816790555312,0.29219600725952816,0.315651718722736,0.22014925373134328,0.32666666666666666,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.18812260536398467,0.2691029900332226,0.17075773745997866,0.23436816790555312,0.29219600725952816,0.315651718722736,0.22014925373134328,0.03185437997724687,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.18812260536398467,0.2727272727272727,0.2972156994297216,0.2222222222222222,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.3285198555956679,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.3285198555956679,0.23652694610778444,0.28187919463087246,0.29143897996357016,0.29219600725952816,0.27292110874200426,0.24216959511077157,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.3285198555956679,0.27472527472527475,0.45588235294117646,0.2980769230769231,0.29219600725952816,0.315651718722736,0.31664030926023545,0.27556109725685785,0.304764337718738,0.2888758782201405,0,1,Not_Success
5,0.2571428571428571,0.27692307692307694,0.85,0.34516129032258064,0.2727272727272727,0.2737430167597765,0.31664030926023545,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Success
1,0.2155425219941349,0.23652694610778444,0.4860335195530726,0.23436816790555312,0.29219600725952816,0.25,1.0,0.3029259896729776,0.304764337718738,0.5,0,1,Success
1,0.15948670944087992,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
5,0.15268817204301074,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.18812260536398467,0.2691029900332226,0.17075773745997866,0.23436816790555312,0.29219600725952816,0.315651718722736,0.2584856396866841,0.09523809523809523,0.22435897435897437,0.2888758782201405,0,1,Not_Success
1,0.15948670944087992,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
6,0.21169036334913113,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.18812260536398467,0.2691029900332226,0.2972156994297216,0.21256038647342995,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
7,0.14864864864864866,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,2,1,Not_Success
1,0.2155425219941349,0.3212121212121212,0.2972156994297216,0.23436816790555312,0.29219600725952816,0.2544861337683524,0.3469387755102041,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.2280130293159609,0.27472527472527475,0.8095238095238095,0.2222222222222222,0.29219600725952816,0.2544861337683524,0.3103448275862069,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.15268817204301074,0.2691029900332226,0.2972156994297216,0.23436816790555312,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.3684210526315789,0,1,Not_Success
7,0.3285198555956679,0.27472527472527475,0.6666666666666666,0.2980769230769231,0.29219600725952816,0.315651718722736,0.3103448275862069,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Success
1,0.15948670944087992,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
7,0.15268817204301074,0.2691029900332226,0.44658493870402804,0.2793764988009592,0.29219600725952816,0.315651718722736,0.24216959511077157,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Success
1,0.15948670944087992,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.2155425219941349,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
7,0.2155425219941349,0.2691029900332226,0.17075773745997866,0.29143897996357016,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.18812260536398467,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.15268817204301074,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
4,0.15948670944087992,0.2691029900332226,0.2972156994297216,0.23436816790555312,0.29219600725952816,0.315651718722736,0.24216959511077157,0.3029259896729776,0.304764337718738,0.2888758782201405,2,1,Not_Success
1,0.21169036334913113,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.2155425219941349,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.18812260536398467,0.23652694610778444,0.17075773745997866,0.29143897996357016,0.29219600725952816,0.315651718722736,0.24216959511077157,0.27556109725685785,0.304764337718738,0.2888758782201405,0,1,Not_Success
5,0.3285198555956679,0.27472527472527475,0.44658493870402804,0.29143897996357016,0.29219600725952816,0.315651718722736,0.3103448275862069,0.05555555555555555,0.304764337718738,0.2888758782201405,0,1,Not_Success
5,0.15948670944087992,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,2,1,Not_Success
7,0.2571428571428571,0.27472527472527475,0.31896551724137934,0.2980769230769231,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.3684210526315789,0,1,Not_Success
7,0.21169036334913113,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,2,1,Not_Success
1,0.2571428571428571,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
7,0.2280130293159609,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
5,0.3285198555956679,0.27472527472527475,0.45588235294117646,0.11627906976744186,0.2727272727272727,0.2737430167597765,0.24216959511077157,0.32666666666666666,0.304764337718738,0.2888758782201405,0,1,Not_Success
7,0.2571428571428571,0.27472527472527475,0.3918918918918919,0.2980769230769231,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Success
6,0.14864864864864866,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,2,1,Not_Success
5,0.2571428571428571,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.2280130293159609,0.3212121212121212,0.17075773745997866,0.29143897996357016,0.29219600725952816,0.315651718722736,0.24216959511077157,0.32666666666666666,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.2280130293159609,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
1,0.21169036334913113,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,2,1,Not_Success
1,0.18812260536398467,0.2691029900332226,0.2972156994297216,0.34516129032258064,0.054120976299964624,0.2737430167597765,0.31664030926023545,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.15948670944087992,0.2691029900332226,0.17075773745997866,0.23436816790555312,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.18812260536398467,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,2,1,Not_Success
5,0.15948670944087992,0.2691029900332226,0.2972156994297216,0.23436816790555312,0.29219600725952816,0.95,0.31664030926023545,0.32666666666666666,0.7142857142857143,0.2888758782201405,0,1,Success
7,0.18812260536398467,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,0,1,Not_Success
4,0.15948670944087992,0.30245746691871456,0.2972156994297216,0.34516129032258064,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
5,0.14864864864864866,0.05064911318339733,0.05761467889908257,0.05242369838420108,0.054120976299964624,0.03724666788387804,0.04750462107208873,0.03185437997724687,0.02143981117230527,0.04663794718112006,2,1,Not_Success
5,0.18812260536398467,0.2691029900332226,0.2972156994297216,0.23436816790555312,0.2727272727272727,0.2544861337683524,0.24216959511077157,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.2571428571428571,0.27472527472527475,0.44658493870402804,0.2980769230769231,0.29219600725952816,0.315651718722736,0.31664030926023545,0.3029259896729776,0.34285714285714286,0.2888758782201405,0,1,Not_Success
7,0.15948670944087992,0.30042918454935624,0.24236453201970443,0.2222222222222222,0.2727272727272727,0.315651718722736,0.12389380530973451,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
3,0.15948670944087992,0.2691029900332226,0.17075773745997866,0.23436816790555312,0.29219600725952816,0.20648967551622419,0.045454545454545456,0.3029259896729776,0.304764337718738,0.2888758782201405,0,1,Not_Success
6,0.15948670944087992,0.2691029900332226,0.17075773745997866,0.34516129032258064,0.29219600725952816,0.315651718722736,0.31664030926023545,0.15827338129496402,0.304764337718738,0.2888758782201405,0,1,Not_Success
1,0.18812260536398467,0.2691029900332226,0.2972156994297216,0.34516129032258064,0.29219600725952816,0.2737430167597765,0.31664030926023545,0.3029259896729776,0.304764337718738,0.3684210526315789,2,1,Success
7,0.18812260536398467,0.27472527472527475,0.45588235294117646,0.34516129032258064,0.2727272727272727,0.315651718722736,0.24216959511077157,0.3029259896729776,0.304764337718738,0.2781456953642384,0,1,Not_Success
